Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
1,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=300,None,None (srcset variant),.jpg,37.53 KB,300x372,Success,
2,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=300,None,None (srcset variant),.jpg,39.61 KB,300x372,Success,
3,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=200,None,None (srcset variant),.jpg,20.49 KB,200x248,Success,
4,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=500,None,None (srcset variant),.jpg,80.47 KB,500x619,Success,
5,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=400,None,None (srcset variant),.jpg,61.12 KB,400x495,Success,
6,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=300,None,None (srcset variant),.jpg,28.52 KB,300x372,Success,
7,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=400,None,None (srcset variant),.jpg,48.42 KB,400x495,Success,
8,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=500,None,None (srcset variant),.jpg,87.10 KB,500x619,Success,
9,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=200,None,None (srcset variant),.jpg,13.89 KB,200x248,Success,
10,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=600,None,None,.jpg,89.88 KB,600x743,Success,
11,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=200,None,None (srcset variant),.jpg,16.64 KB,200x248,Success,
12,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=600,None,None,.jpg,90.03 KB,600x743,Success,
13,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=600,None,None,.jpg,90.32 KB,600x743,Success,
14,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=400,None,None (srcset variant),.jpg,56.21 KB,400x495,Success,
15,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=300,None,None (srcset variant),.jpg,31.62 KB,300x372,Success,
16,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=500,None,None (srcset variant),.jpg,70.31 KB,500x619,Success,
17,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=1000,None,None,.jpg,324.58 KB,1000x1500,Success,
18,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=600,None,None (srcset variant),.jpg,126.63 KB,600x900,Success,
19,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=500,None,None (srcset variant),.jpg,91.94 KB,500x750,Success,
20,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=300,None,None (srcset variant),.jpg,38.76 KB,300x450,Success,
21,https://www.pothys.com/cdn/shop/files/Pure_silk_half_Sarees.jpg?v=1737119149&width=600,None,None,.jpg,137.64 KB,600x743,Success,
22,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=600,None,None,.jpg,113.58 KB,600x743,Success,
23,https://www.pothys.com/cdn/shop/files/Pure_silk_half_Sarees.jpg?v=1737119149&width=400,None,None (srcset variant),.jpg,76.53 KB,400x495,Success,
24,https://www.pothys.com/cdn/shop/files/Pure_silk_half_Sarees.jpg?v=1737119149&width=300,None,None (srcset variant),.jpg,48.20 KB,300x372,Success,
25,https://www.pothys.com/cdn/shop/files/Pure_silk_half_Sarees.jpg?v=1737119149&width=200,None,None (srcset variant),.jpg,24.34 KB,200x248,Success,
26,https://www.pothys.com/cdn/shop/files/Tissue_half_saree.jpg?v=1737119149&width=600,None,None,.jpg,123.42 KB,600x743,Success,
27,https://www.pothys.com/cdn/shop/files/Pure_silk_half_Sarees.jpg?v=1737119149&width=500,None,None (srcset variant),.jpg,110.77 KB,500x619,Success,
28,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=200,None,None (srcset variant),.jpg,20.29 KB,200x300,Success,
29,https://www.pothys.com/cdn/shop/files/Tissue_half_saree.jpg?v=1737119149&width=300,None,None (srcset variant),.jpg,37.30 KB,300x372,Success,
30,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=400,None,None (srcset variant),.jpg,49.32 KB,400x495,Success,
31,https://www.pothys.com/cdn/shop/files/Tissue_half_saree.jpg?v=1737119149&width=200,None,None (srcset variant),.jpg,18.92 KB,200x248,Success,
32,https://www.pothys.com/cdn/shop/files/Tissue_half_saree.jpg?v=1737119149&width=400,None,None (srcset variant),.jpg,60.41 KB,400x495,Success,
33,https://www.pothys.com/cdn/shop/files/Tissue_half_saree.jpg?v=1737119149&width=500,None,None (srcset variant),.jpg,89.83 KB,500x619,Success,
34,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=400,None,None (srcset variant),.jpg,62.44 KB,400x600,Success,
35,https://www.pothys.com/cdn/shop/files/Readymate_Suits.jpg?v=1736228048&width=200,None,None (srcset variant),.jpg,14.04 KB,200x248,Success,
36,https://www.pothys.com/cdn/shop/files/Readymate_Suits.jpg?v=1736228048&width=400,None,None (srcset variant),.jpg,42.35 KB,400x495,Success,
37,https://www.pothys.com/cdn/shop/files/Readymate_Suits.jpg?v=1736228048&width=500,None,None (srcset variant),.jpg,60.35 KB,500x619,Success,
38,https://www.pothys.com/cdn/shop/files/097A7253.jpg?v=1746618808&width=800,None,None (srcset variant),.jpg,213.01 KB,800x1200,Success,
39,https://www.pothys.com/cdn/shop/files/Chudihar_Material_Catelogue.jpg?v=1736228113&width=500,None,None (srcset variant),.jpg,99.44 KB,500x619,Success,
40,https://www.pothys.com/cdn/shop/files/Kurtis.jpg?v=1736228129&width=600,None,None,.jpg,79.51 KB,600x743,Success,
41,https://www.pothys.com/cdn/shop/files/Kurtis.jpg?v=1736228129&width=200,None,None (srcset variant),.jpg,15.25 KB,200x248,Success,
42,https://www.pothys.com/cdn/shop/files/Kurtis.jpg?v=1736228129&width=400,None,None (srcset variant),.jpg,45.14 KB,400x495,Success,
43,https://www.pothys.com/cdn/shop/files/Readymate_Suits.jpg?v=1736228048&width=600,None,None,.jpg,75.16 KB,600x743,Success,
44,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=500,None,None (srcset variant),.jpg,74.95 KB,500x619,Success,
45,https://www.pothys.com/cdn/shop/files/Kurtis.jpg?v=1736228129&width=300,None,None (srcset variant),.jpg,29.44 KB,300x372,Success,
46,https://www.pothys.com/cdn/shop/files/mens_wear.jpg?v=1742190450&width=200,None,None (srcset variant),.jpg,9.26 KB,200x248,Success,
47,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=200,None,None (srcset variant),.jpg,19.56 KB,200x248,Success,
48,https://www.pothys.com/cdn/shop/files/Chudihar_Material_Catelogue.jpg?v=1736228113&width=200,None,None (srcset variant),.jpg,22.21 KB,200x248,Success,
49,https://www.pothys.com/cdn/shop/files/Readymate_Suits.jpg?v=1736228048&width=300,None,None (srcset variant),.jpg,27.30 KB,300x372,Success,
50,https://www.pothys.com/cdn/shop/files/mens_wear.jpg?v=1742190450&width=600,None,None,.jpg,41.62 KB,600x743,Success,
51,https://www.pothys.com/cdn/shop/files/mens_wear.jpg?v=1742190450&width=400,None,None (srcset variant),.jpg,24.34 KB,400x495,Success,
52,https://www.pothys.com/cdn/shop/files/mens_wear.jpg?v=1742190450&width=300,None,None (srcset variant),.jpg,16.73 KB,300x372,Success,
53,https://www.pothys.com/cdn/shop/files/kidswear.jpg?v=1742190450&width=600,None,None,.jpg,79.79 KB,600x743,Success,
54,https://www.pothys.com/cdn/shop/files/Chudihar_Material_Catelogue.jpg?v=1736228113&width=300,None,None (srcset variant),.jpg,44.13 KB,300x372,Success,
55,https://www.pothys.com/cdn/shop/files/kidswear.jpg?v=1742190450&width=400,None,None (srcset variant),.jpg,42.80 KB,400x495,Success,
56,https://www.pothys.com/cdn/shop/files/Chudihar_Material_Catelogue.jpg?v=1736228113&width=400,None,None (srcset variant),.jpg,68.92 KB,400x495,Success,
57,https://www.pothys.com/cdn/shop/files/kidswear.jpg?v=1742190450&width=500,None,None (srcset variant),.jpg,61.15 KB,500x619,Success,
58,https://www.pothys.com/cdn/shop/files/WhatsApp_Image_2025-01-17_at_15.57.19_2_1.jpg?v=1737362295&width=500,None,None (srcset variant),.jpg,73.72 KB,500x619,Success,
59,https://www.pothys.com/cdn/shop/files/WhatsApp_Image_2025-01-17_at_15.57.19_2_1.jpg?v=1737362295&width=400,None,None (srcset variant),.jpg,52.30 KB,400x495,Success,
60,https://www.pothys.com/cdn/shop/files/WhatsApp_Image_2025-01-17_at_15.57.19_2_1.jpg?v=1737362295&width=600,None,None,.jpg,91.63 KB,600x743,Success,
61,https://www.pothys.com/cdn/shop/files/Final.jpg?v=1738758184&width=600,None,None,.jpg,141.57 KB,600x743,Success,
62,https://www.pothys.com/cdn/shop/files/Final.jpg?v=1738758184&width=300,None,None (srcset variant),.jpg,44.80 KB,300x372,Success,
63,https://www.pothys.com/cdn/shop/files/Final.jpg?v=1738758184&width=400,None,None (srcset variant),.jpg,71.06 KB,400x495,Success,
64,https://www.pothys.com/cdn/shop/files/Final.jpg?v=1738758184&width=500,None,None (srcset variant),.jpg,102.68 KB,500x619,Success,
65,https://www.pothys.com/cdn/shop/files/Approved-5_1.jpg?v=1743507748&width=600,None,None,.jpg,100.68 KB,600x743,Success,
66,https://www.pothys.com/cdn/shop/files/Approved-5_1.jpg?v=1743507748&width=200,None,None (srcset variant),.jpg,16.94 KB,200x248,Success,
67,https://www.pothys.com/cdn/shop/files/WhatsApp_Image_2025-01-17_at_15.57.19_2_1.jpg?v=1737362295&width=200,None,None (srcset variant),.jpg,18.12 KB,200x248,Success,
68,https://www.pothys.com/cdn/shop/files/Approved-5_1.jpg?v=1743507748&width=400,None,None (srcset variant),.jpg,51.06 KB,400x495,Success,
69,https://www.pothys.com/cdn/shop/files/WhatsApp_Image_2025-01-17_at_15.57.19_2_1.jpg?v=1737362295&width=300,None,None (srcset variant),.jpg,34.46 KB,300x372,Success,
70,https://www.pothys.com/cdn/shop/files/pothys-logo-white-text.png?v=1728539955&width=240,None,None,.png,3.49 KB,240x63,Success,
71,https://www.pothys.com/cdn/shop/files/samudrika_69535b7f-ca5a-4c66-a7b4-ebb2cd10f843.jpg?v=1739343325&width=104,None,None,.jpg,4.81 KB,104x104,Success,
72,https://www.pothys.com/cdn/shop/files/parampara_6bcb038b-3e5e-4397-b399-ede90cb9902e.jpg?v=1739343269&width=104,None,None,.jpg,4.33 KB,104x104,Success,
73,https://www.pothys.com/cdn/shop/files/samudrika_69535b7f-ca5a-4c66-a7b4-ebb2cd10f843.jpg?v=1739343325&width=52,None,None (srcset variant),.jpg,2.22 KB,52x52,Success,
74,https://www.pothys.com/cdn/shop/files/kerala-store.png?v=1744799336,None,None,.png,28.26 KB,100x122,Success,
75,https://www.pothys.com/cdn/shop/files/vastakala-pattu.jpg?v=1739343406&width=52,None,None (srcset variant),.jpg,2.23 KB,52x52,Success,
76,https://www.pothys.com/cdn/shop/files/vasundhara-Pattu_d4a468c4-b958-420c-b979-d993cdc0df64.jpg?v=1739343493&width=104,None,None,.jpg,4.56 KB,104x104,Success,
77,https://www.pothys.com/cdn/shop/files/vasundhara-Pattu_d4a468c4-b958-420c-b979-d993cdc0df64.jpg?v=1739343493&width=52,None,None (srcset variant),.jpg,2.17 KB,52x52,Success,
78,https://www.pothys.com/cdn/shop/files/vasundhara-lITE.jpg?v=1739343533&width=104,None,None,.jpg,4.23 KB,104x104,Success,
79,https://www.pothys.com/cdn/shop/files/Chudihar_Material_Catelogue.jpg?v=1736228113&width=600,None,None,.jpg,131.78 KB,600x743,Success,
80,https://www.pothys.com/cdn/shop/files/parampara_6bcb038b-3e5e-4397-b399-ede90cb9902e.jpg?v=1739343269&width=52,None,None (srcset variant),.jpg,2.01 KB,52x52,Success,
81,https://www.pothys.com/cdn/shop/files/Mayuri.jpg?v=1739343232&width=104,None,None,.jpg,3.22 KB,104x104,Success,
82,https://www.pothys.com/cdn/shop/files/kidswear.jpg?v=1742190450&width=200,None,None (srcset variant),.jpg,14.43 KB,200x248,Success,
83,https://www.pothys.com/cdn/shop/files/mens_wear.jpg?v=1742190450&width=500,None,None (srcset variant),.jpg,33.75 KB,500x619,Success,
84,https://www.pothys.com/cdn/shop/files/vasundhara-lITE.jpg?v=1739343533&width=52,None,None (srcset variant),.jpg,2.13 KB,52x52,Success,
85,https://www.pothys.com/cdn/shop/files/WCAK_100_copy.jpg?v=1736160873&width=104,None,None,.jpg,7.95 KB,104x104,Success,
86,https://www.pothys.com/cdn/shop/files/kidswear.jpg?v=1742190450&width=300,None,None (srcset variant),.jpg,27.28 KB,300x372,Success,
87,https://www.pothys.com/cdn/shop/files/pure-silk-pothys.jpg?v=1747977592&width=104,pure-silk-pothys,pure-silk-pothys,.jpg,6.61 KB,104x104,Success,
88,https://www.pothys.com/cdn/shop/files/KANAK_406_copy.jpg?v=1736160974&width=104,None,None,.jpg,6.81 KB,104x104,Success,
89,https://www.pothys.com/cdn/shop/files/Mayuri.jpg?v=1739343232&width=52,None,None (srcset variant),.jpg,1.70 KB,52x52,Success,
90,https://www.pothys.com/cdn/shop/files/KANAK_406_copy.jpg?v=1736160974&width=52,None,None (srcset variant),.jpg,2.78 KB,52x52,Success,
91,https://www.pothys.com/cdn/shop/files/KANPK_698_copy.jpg?v=1736161044&width=104,None,None,.jpg,5.48 KB,104x104,Success,
92,https://www.pothys.com/cdn/shop/files/KANPK_768_copy.jpg?v=1736161162&width=104,None,None,.jpg,6.91 KB,104x104,Success,
93,https://www.pothys.com/cdn/shop/files/KANPK_768_copy.jpg?v=1736161162&width=52,None,None (srcset variant),.jpg,2.71 KB,52x52,Success,
94,https://www.pothys.com/cdn/shop/files/pure-silk-pothys.jpg?v=1747977592&width=52,pure-silk-pothys,pure-silk-pothys (srcset variant),.jpg,2.58 KB,52x52,Success,
95,https://www.pothys.com/cdn/shop/files/kancheepuram-borderless.jpg?v=1735823775&width=52,None,None (srcset variant),.jpg,2.27 KB,52x52,Success,
96,https://www.pothys.com/cdn/shop/files/KANPK_750_copy.jpg?v=1736161210&width=104,None,None,.jpg,5.97 KB,104x104,Success,
97,https://www.pothys.com/cdn/shop/files/Approved-5_1.jpg?v=1743507748&width=300,None,None (srcset variant),.jpg,32.10 KB,300x372,Success,
98,https://www.pothys.com/cdn/shop/files/KANPK_750_copy.jpg?v=1736161210&width=52,None,None (srcset variant),.jpg,2.65 KB,52x52,Success,
99,https://www.pothys.com/cdn/shop/files/KANAK_473_copy.jpg?v=1736161278&width=104,None,None,.jpg,7.27 KB,104x104,Success,
100,https://www.pothys.com/cdn/shop/files/KANPK_698_copy.jpg?v=1736161044&width=52,None,None (srcset variant),.jpg,2.48 KB,52x52,Success,
101,https://www.pothys.com/cdn/shop/files/Approved-5_1.jpg?v=1743507748&width=500,None,None (srcset variant),.jpg,74.05 KB,500x619,Success,
102,https://www.pothys.com/cdn/shop/files/KANP_110_copy.jpg?v=1736161384&width=104,None,None,.jpg,5.28 KB,104x104,Success,
103,https://www.pothys.com/cdn/shop/files/Kurtis.jpg?v=1736228129&width=500,None,None (srcset variant),.jpg,64.87 KB,500x619,Success,
104,https://www.pothys.com/cdn/shop/files/KANP_110_copy.jpg?v=1736161384&width=52,None,None (srcset variant),.jpg,2.44 KB,52x52,Success,
105,https://www.pothys.com/cdn/shop/files/kancheepuram-checks.png?v=1736507700&width=52,None,None (srcset variant),.png,6.65 KB,52x52,Success,
106,https://www.pothys.com/cdn/shop/files/banarasi-silk.jpg?v=1735824498&width=104,None,None,.jpg,5.96 KB,104x104,Success,
107,https://www.pothys.com/cdn/shop/files/vastakala-pattu.jpg?v=1739343406&width=104,None,None,.jpg,4.83 KB,104x104,Success,
108,https://www.pothys.com/cdn/shop/files/banarasi-dupion.jpg?v=1735824410&width=52,None,None (srcset variant),.jpg,2.57 KB,52x52,Success,
109,https://www.pothys.com/cdn/shop/files/banaras-georgette.jpg?v=1735824912&width=52,None,None (srcset variant),.jpg,2.78 KB,52x52,Success,
110,https://www.pothys.com/cdn/shop/files/KANP_152_copy.jpg?v=1736161339&width=104,None,None,.jpg,5.43 KB,104x104,Success,
111,https://www.pothys.com/cdn/shop/files/banaras-georgette.jpg?v=1735824912&width=104,None,None,.jpg,7.60 KB,104x104,Success,
112,https://www.pothys.com/cdn/shop/files/banarasi-tussar.jpg?v=1735826035&width=52,None,None (srcset variant),.jpg,2.65 KB,52x52,Success,
113,https://www.pothys.com/cdn/shop/files/banarasi-tussar.jpg?v=1735826035&width=104,None,None,.jpg,6.01 KB,104x104,Success,
114,https://www.pothys.com/cdn/shop/files/Final.jpg?v=1738758184&width=200,None,None (srcset variant),.jpg,23.04 KB,200x248,Success,
115,https://www.pothys.com/cdn/shop/files/bandhani.jpg?v=1735824235&width=104,None,None,.jpg,9.63 KB,104x104,Success,
116,https://www.pothys.com/cdn/shop/files/champa-dupion.jpg?v=1735824707&width=52,None,None (srcset variant),.jpg,2.77 KB,52x52,Success,
117,https://www.pothys.com/cdn/shop/files/bandhani.jpg?v=1735824235&width=52,None,None (srcset variant),.jpg,3.43 KB,52x52,Success,
118,https://www.pothys.com/cdn/shop/files/champa-dupion.jpg?v=1735824707&width=104,None,None,.jpg,6.17 KB,104x104,Success,
119,https://www.pothys.com/cdn/shop/files/champa-tussar.jpg?v=1735825936&width=52,None,None (srcset variant),.jpg,2.53 KB,52x52,Success,
120,https://www.pothys.com/cdn/shop/files/banarasi-dupion.jpg?v=1735824410&width=104,None,None,.jpg,5.80 KB,104x104,Success,
121,https://www.pothys.com/cdn/shop/files/champa-tussar.jpg?v=1735825936&width=104,None,None,.jpg,5.35 KB,104x104,Success,
122,https://www.pothys.com/cdn/shop/files/chiffon.jpg?v=1735824622&width=104,None,None,.jpg,4.85 KB,104x104,Success,
123,https://www.pothys.com/cdn/shop/files/gadwal.jpg?v=1735824804&width=104,None,None,.jpg,5.80 KB,104x104,Success,
124,https://www.pothys.com/cdn/shop/files/banarasi-silk.jpg?v=1735824498&width=52,None,None (srcset variant),.jpg,2.72 KB,52x52,Success,
125,https://www.pothys.com/cdn/shop/files/KANP_152_copy.jpg?v=1736161339&width=52,None,None (srcset variant),.jpg,2.38 KB,52x52,Success,
126,https://www.pothys.com/cdn/shop/files/ICM_218_copy.jpg?v=1736162081&width=52,None,None (srcset variant),.jpg,2.53 KB,52x52,Success,
127,https://www.pothys.com/cdn/shop/files/gadwal.jpg?v=1735824804&width=52,None,None (srcset variant),.jpg,2.64 KB,52x52,Success,
128,https://www.pothys.com/cdn/shop/files/IKSVK_012_copy.jpg?v=1736162026&width=104,None,None,.jpg,9.51 KB,104x104,Success,
129,https://www.pothys.com/cdn/shop/files/WCAK_100_copy.jpg?v=1736160873&width=52,None,None (srcset variant),.jpg,2.71 KB,52x52,Success,
130,https://www.pothys.com/cdn/shop/files/LSM_136.jpg?v=1736162163&width=52,None,None (srcset variant),.jpg,2.59 KB,52x52,Success,
131,https://www.pothys.com/cdn/shop/files/ICM_218_copy.jpg?v=1736162081&width=104,None,None,.jpg,5.88 KB,104x104,Success,
132,https://www.pothys.com/cdn/shop/files/NYAK_069_copy.jpg?v=1736162270&width=104,None,None,.jpg,7.41 KB,104x104,Success,
133,https://www.pothys.com/cdn/shop/files/NYAK_069_copy.jpg?v=1736162270&width=52,None,None (srcset variant),.jpg,2.85 KB,52x52,Success,
134,https://www.pothys.com/cdn/shop/files/kancheepuram-borderless.jpg?v=1735823775&width=104,None,None,.jpg,4.69 KB,104x104,Success,
135,https://www.pothys.com/cdn/shop/files/kalamkari.jpg?v=1735825119&width=104,None,None,.jpg,8.49 KB,104x104,Success,
136,https://www.pothys.com/cdn/shop/files/OSGM_451_copy.jpg?v=1736162314&width=104,None,None,.jpg,6.29 KB,104x104,Success,
137,https://www.pothys.com/cdn/shop/files/IKSVK_012_copy.jpg?v=1736162026&width=52,None,None (srcset variant),.jpg,3.53 KB,52x52,Success,
138,https://www.pothys.com/cdn/shop/files/PTVK_085_copy.jpg?v=1736162383&width=104,None,None,.jpg,6.43 KB,104x104,Success,
139,https://www.pothys.com/cdn/shop/files/KANAK_473_copy.jpg?v=1736161278&width=52,None,None (srcset variant),.jpg,2.84 KB,52x52,Success,
140,https://www.pothys.com/cdn/shop/files/PRSM_338_copy.jpg?v=1736162444&width=104,None,None,.jpg,9.01 KB,104x104,Success,
141,https://www.pothys.com/cdn/shop/files/PTVK_085_copy.jpg?v=1736162383&width=52,None,None (srcset variant),.jpg,2.82 KB,52x52,Success,
142,https://www.pothys.com/cdn/shop/files/MYSM_2207_copy.jpg?v=1736162222&width=104,None,None,.jpg,8.05 KB,104x104,Success,
143,https://www.pothys.com/cdn/shop/files/MYSM_2207_copy.jpg?v=1736162222&width=52,None,None (srcset variant),.jpg,3.18 KB,52x52,Success,
144,https://www.pothys.com/cdn/shop/files/SCAK_370.jpg?v=1736162541&width=52,None,None (srcset variant),.jpg,2.73 KB,52x52,Success,
145,https://www.pothys.com/cdn/shop/files/UPAK-_8505.jpg?v=1736162719&width=52,None,None (srcset variant),.jpg,2.95 KB,52x52,Success,
146,https://www.pothys.com/cdn/shop/files/kancheepuram-checks.png?v=1736507700&width=104,None,None,.png,23.37 KB,104x104,Success,
147,https://www.pothys.com/cdn/shop/files/UPAK-_8505.jpg?v=1736162719&width=104,None,None,.jpg,6.43 KB,104x104,Success,
148,https://www.pothys.com/cdn/shop/files/BGPK-043-copy.jpg?v=1746447045&width=104,None,None,.jpg,6.68 KB,104x104,Success,
149,https://www.pothys.com/cdn/shop/files/11_CSP_4581.jpg?v=1736173260&width=52,None,None (srcset variant),.jpg,2.50 KB,52x52,Success,
150,https://www.pothys.com/cdn/shop/files/11_CSP_4581.jpg?v=1736173260&width=104,None,None,.jpg,5.77 KB,104x104,Success,
151,https://www.pothys.com/cdn/shop/files/gift-card-500_2_7150926c-55dd-4cfc-9289-bfe3e1dcc909.jpg?v=1732099790&width=52,Pothys Physical Gift Card,Pothys Physical Gift Card (srcset variant),.jpg,1.81 KB,52x78,Success,
152,https://www.pothys.com/cdn/shop/files/bengal-cotton_a83bc7b6-d792-467a-be18-71e26425c25d.jpg?v=1735831252&width=52,None,None (srcset variant),.jpg,2.66 KB,52x52,Success,
153,https://www.pothys.com/cdn/shop/files/bengal-cotton_a83bc7b6-d792-467a-be18-71e26425c25d.jpg?v=1735831252&width=104,None,None,.jpg,5.46 KB,104x104,Success,
154,https://www.pothys.com/cdn/shop/files/budget-cotton_15012e23-34c1-4644-bc08-e69041539d17.jpg?v=1735829935&width=104,None,None,.jpg,4.45 KB,104x104,Success,
155,https://www.pothys.com/cdn/shop/files/chanderi-cotton_25b8bff5-981a-49f5-8e4d-5e86438a6cbb.jpg?v=1735830038&width=104,None,None,.jpg,4.55 KB,104x104,Success,
156,https://www.pothys.com/cdn/shop/files/12_CSP_4613.jpg?v=1736173304&width=104,None,None,.jpg,5.78 KB,104x104,Success,
157,https://www.pothys.com/cdn/shop/files/kalamkari.jpg?v=1735825119&width=52,None,None (srcset variant),.jpg,3.41 KB,52x52,Success,
158,https://www.pothys.com/cdn/shop/files/chikankari-cotton_00aef3ad-32e2-48b9-9263-265fe6d9ae5c.jpg?v=1735831385&width=104,None,None,.jpg,2.90 KB,104x104,Success,
159,https://www.pothys.com/cdn/shop/files/gift-card-500_2_7150926c-55dd-4cfc-9289-bfe3e1dcc909.jpg?v=1732099790&width=104,Pothys Physical Gift Card,Pothys Physical Gift Card,.jpg,3.28 KB,104x157,Success,
160,https://www.pothys.com/cdn/shop/files/chikankari-cotton_00aef3ad-32e2-48b9-9263-265fe6d9ae5c.jpg?v=1735831385&width=52,None,None (srcset variant),.jpg,1.65 KB,52x52,Success,
161,https://www.pothys.com/cdn/shop/files/chiffon.jpg?v=1735824622&width=52,None,None (srcset variant),.jpg,2.24 KB,52x52,Success,
162,https://www.pothys.com/cdn/shop/files/budget-cotton_15012e23-34c1-4644-bc08-e69041539d17.jpg?v=1735829935&width=52,None,None (srcset variant),.jpg,2.08 KB,52x52,Success,
163,https://www.pothys.com/cdn/shop/files/coimbatore-cotton.jpg?v=1735831515&width=104,None,None,.jpg,4.47 KB,104x104,Success,
164,https://www.pothys.com/cdn/shop/files/chirala-cotton_16fa60b1-441f-4039-9ff6-1f25d34b88bd.jpg?v=1735830132&width=52,None,None (srcset variant),.jpg,2.51 KB,52x52,Success,
165,https://www.pothys.com/cdn/shop/files/coimbatore-cotton.jpg?v=1735831515&width=52,None,None (srcset variant),.jpg,2.27 KB,52x52,Success,
166,https://www.pothys.com/cdn/shop/files/chirala-cotton_16fa60b1-441f-4039-9ff6-1f25d34b88bd.jpg?v=1735830132&width=104,None,None,.jpg,5.95 KB,104x104,Success,
167,https://www.pothys.com/cdn/shop/files/ikkat-cotton.jpg?v=1735829517&width=52,None,None (srcset variant),.jpg,2.28 KB,52x52,Success,
168,https://www.pothys.com/cdn/shop/files/ikkat-cotton.jpg?v=1735829517&width=104,None,None,.jpg,4.80 KB,104x104,Success,
169,https://www.pothys.com/cdn/shop/files/LSM_136.jpg?v=1736162163&width=104,None,None,.jpg,6.03 KB,104x104,Success,
170,https://www.pothys.com/cdn/shop/files/jute-cotton.jpg?v=1735828896&width=104,None,None,.jpg,4.85 KB,104x104,Success,
171,https://www.pothys.com/cdn/shop/files/13_CSP_4535.jpg?v=1736173350&width=52,None,None (srcset variant),.jpg,3.21 KB,52x52,Success,
172,https://www.pothys.com/cdn/shop/files/jute-cotton.jpg?v=1735828896&width=52,None,None (srcset variant),.jpg,2.20 KB,52x52,Success,
173,https://www.pothys.com/cdn/shop/files/15_CSP_4629.jpg?v=1736173392&width=104,None,None,.jpg,4.24 KB,104x104,Success,
174,https://www.pothys.com/cdn/shop/files/15_CSP_4629.jpg?v=1736173392&width=52,None,None (srcset variant),.jpg,2.02 KB,52x52,Success,
175,https://www.pothys.com/cdn/shop/files/CSP3036_-_Khadi_Cotton.jpg?v=1757305759&width=52,None,None (srcset variant),.jpg,1.83 KB,52x52,Success,
176,https://www.pothys.com/cdn/shop/files/CSP3036_-_Khadi_Cotton.jpg?v=1757305759&width=104,None,None,.jpg,3.60 KB,104x104,Success,
177,https://www.pothys.com/cdn/shop/files/OSGM_451_copy.jpg?v=1736162314&width=52,None,None (srcset variant),.jpg,2.60 KB,52x52,Success,
178,https://www.pothys.com/cdn/shop/files/KOTVK_034.jpg?v=1736164195&width=52,None,None (srcset variant),.jpg,2.61 KB,52x52,Success,
179,https://www.pothys.com/cdn/shop/files/17_KUP_089.jpg?v=1736173432&width=104,None,None,.jpg,5.92 KB,104x104,Success,
180,https://www.pothys.com/cdn/shop/files/17_KUP_089.jpg?v=1736173432&width=52,None,None (srcset variant),.jpg,2.51 KB,52x52,Success,
181,https://www.pothys.com/cdn/shop/files/PRSM_338_copy.jpg?v=1736162444&width=52,None,None (srcset variant),.jpg,3.15 KB,52x52,Success,
182,https://www.pothys.com/cdn/shop/files/14_CSP_4268.jpg?v=1736173475&width=104,None,None,.jpg,3.65 KB,104x104,Success,
183,https://www.pothys.com/cdn/shop/files/16_MCSP_013.jpg?v=1736173513&width=104,None,None,.jpg,3.27 KB,104x104,Success,
